UID	dby    DBY7286 Low-Pi vs. High-Pi||dby    	pho4c  PHO4c vs. wild type||pho4c  	pho80  pho80 mutant vs wild type||pho80  	"pho81  PHO81c vs. wild type, exp.1||pho81  "	"pho812 PHO81c vs. wild type, exp.2||pho812 "	pho85  pho85 delete vs. wild type||pho85  	"lowpho NBW7 strain High-Pi vs. Low-Pi, exp.2||lowpho "	"nbw    NBW7 strain low-Pi vs. High-Pi, exp.1||nbw    "
YER0191C	0.39	0.01	-0.25	1.33	0.3	-0.11	1.06	0.14
YER0441C	0.15	0.16	-0.5		0.11	-0.1	0.79	0.23
YER0561C	-0.36	-0.56	0.18	0.05	-0.53	-0.73	0.55	0.13
YER0871C	0.3	-0.13	0.09	0.29	0.08	-0.37	0.44	-0.09
YML021W	-0.03	-0.28	0.18	0.26	0.18	-0.55	0.58	0.26
YGR002C	-0.05	-0.23	-0.02	0.13	-0.19	-0.79	0.13	-0.11
YML072C	0.8	0.37	-0.4	0.27	0.7	-0.36	1.21	0.61
YNL177C	0	-0.18	-0.33	0.64	0.04	-0.5	0	-0.05
YOR122C	0.19	-0.3	0	0.76	-0.15	0.13	-0.45	-0.14
YML075C	0.3	-0.32	-0.38		0.3	-0.88	0.64	1.06
YNL179C	0.19	-0.07	-0.37		0.04	-0.52	0.63	-0.02
YOR124C	0.76	0.28	-0.04	0.57	0.3	-0.26	0.44	0.1
YML077W	-0.2	-0.37	-0.2		-0.28	-0.26	0.23	-0.06
YNL181W	0.06	-0.16	-0.14	0.85	0.19	-0.5	0.46	-0.17
YOR126C	-0.05	0.03	-0.12		0.3	-0.06	-0.79	0.1
YML079W	0.28	0.1	-0.01	1.38	0.29	0.13	0.78	-0.1
YNL183C	0.92	0.29	-0.08	0.36	0.55	-0.35	0.49	0.04
YOR128C	-0.01	-0.23	-0.17		-0.06	2.33	-2.34	0.06
YNL197C	0.32	0.03	0.27	0.25	0.16	-0.85	0.52	0.33
YNL199C	-0.13	-0.23	-0.16	-0.69	-0.32	-0.83	-0.03	0
YNL201C	-0.41	-0.05	-0.3	-0.86	-0.39	-0.95	0.07	0.17
YNL203C	0.44	0.11	-0.43		-0.06	-0.62	0.09	0.14
YNL205C	0.17	0.32	-0.33		0.2	-0.07	0.36	-0.31
YNL207W	-0.66	0.05	-0.19	0.35	-0.13	-0.82	0.34	-0.16
YNL221C	-0.52	0.29	-0.37	0.24	0.09	-0.98	-0.04	-0.21
YNL223W	0.59	-0.04	-0.1		0.13	-0.15	-0.29	0.19
YNL225C	0.14	-0.22	0.14	-0.22	0.03	-0.23	0.05	-0.02
